Tempo em min:sec,Temperatura desejada do tanque,Temperatura atual do tanque,Nivel desejado do tanque,Nivel atual do Tanque
00:05.65,30.000000,20.492452,1.500000,1.957317
00:05.66,30.000000,20.492452,1.500000,1.957317
00:05.67,30.000000,20.501164,1.500000,1.956745
00:05.68,30.000000,20.501164,1.500000,1.956745
00:05.69,30.000000,20.501164,1.500000,1.956745
00:05.70,30.000000,20.501164,1.500000,1.956745
00:05.71,30.000000,20.501164,1.500000,1.956745
00:05.72,30.000000,20.501164,1.500000,1.956745
00:05.73,30.000000,20.501164,1.500000,1.956745
00:05.74,30.000000,20.501164,1.500000,1.956745
00:05.75,30.000000,20.501164,1.500000,1.956745
00:05.76,30.000000,20.501164,1.500000,1.956745
00:05.77,30.000000,20.509871,1.500000,1.956174
00:05.78,30.000000,20.509871,1.500000,1.956174
00:05.79,30.000000,20.509871,1.500000,1.956174
00:05.80,30.000000,20.509871,1.500000,1.956174
00:05.81,30.000000,20.509871,1.500000,1.956174
00:05.82,30.000000,20.509871,1.500000,1.956174
00:05.83,30.000000,20.509871,1.500000,1.956174
00:05.84,30.000000,20.509871,1.500000,1.956174
00:05.85,30.000000,20.509871,1.500000,1.956174
00:05.86,30.000000,20.509871,1.500000,1.956174
00:05.87,30.000000,20.518573,1.500000,1.955603
00:05.88,30.000000,20.518573,1.500000,1.955603
00:05.89,30.000000,20.518573,1.500000,1.955603
00:05.90,30.000000,20.518573,1.500000,1.955603
00:05.91,30.000000,20.518573,1.500000,1.955603
00:05.92,30.000000,20.518573,1.500000,1.955603
00:05.93,30.000000,20.518573,1.500000,1.955603
00:05.94,30.000000,20.518573,1.500000,1.955603
00:05.95,30.000000,20.518573,1.500000,1.955603
00:05.96,30.000000,20.518573,1.500000,1.955603
00:05.97,30.000000,20.527269,1.500000,1.955033
00:05.98,30.000000,20.527269,1.500000,1.955033
00:05.99,30.000000,20.527269,1.500000,1.955033
00:06.00,30.000000,20.527269,1.500000,1.955033
00:06.01,30.000000,20.527269,1.500000,1.955033
00:06.02,30.000000,20.527269,1.500000,1.955033
00:06.03,30.000000,20.527269,1.500000,1.955033
